color_name_english,color_name_japanese,hex,description
White,白色,#FFFFFF,こちらがよくある白、ありふれた白やね。プリンターの用紙や白いスケッチブックのページもこの色のいい例やね。
Ghost white,ゴーストホワイト,#F8F8FF,ほんの少しグレーとブルーが混ざった、オフホワイトやね。見るとちょっと不気味な感じがするけど。これはこれでステキな色やね。
White smoke,ホワイトスモーク,#F5F5F5,この色はゴーストホワイトに比べてブルーっぽさが控えめで、白に混じってシルバーグレーのトーンが混ざってる感じ。例えばに煙突から出てくる煙なんかが近い色かもしれへんよね
Baby powder,ベビーパウダー,#FEFEFA,ベビーパウダーって実は柔らかい黄色みがかった白色やねん。ベビーパウダーの匂いをかいだらこの色がスッと浮かんでくる、、　逆もしかりやねん。
Snow,雪色,#F5FEFD,ここでええ感じの白さやねん、ほんまに純白に近い。冬の朝、雪が真新しい毛布みたいに地面を覆うイメージが目に浮かぶ。雪だるまや雪合戦、それから熱々のココアを飲む。最高やね！
Ivory,アイボリー,#FFFFF0,知ってた？アイボリーっていう色、もう500年以上も使われてんねん。動物の歯や牙に使われる物質から名前がつけられて、ちょっとだけ黄色みがかった白色なんやで。でも、めっちゃシンプルで綺麗な色やねん。アート作品に使われたら、すごい目立って見栄えがええんやで。
Floral white,フローラルホワイト,#FFFAF0,フローラルホワイトは、とっても薄い黄色に近いんやけど、色の薄さから白っぽいカラーやねん。シンプルやけど、おしゃれで、ウェディングガウンには最適やねん。また、壁のペンキとしてもよく使われてるけど、いつ見ても目に心地よい色やねん。実際の世界でもっとも使われてるオフホワイトの一つやねん。
Seashell,シーシェル,#FFF5EE,
Cornsilk,コーンシルク,#FFF8DC,
Old Lace,オールドレース,#FDF5E6,
Cream,クリーム色,#FFFDD0,
Beige,ベージュ色,#F5F5DC,
Parchment,パーチメント,#F1E9D2,
Antique white,アンティークホワイト,#FAEBD7,
Champagne,シャンパン色,#F7E7CE,
Eggshell,エッグシェル,#F0EAD6,
Dutch white,ダッチホワイト,#EFDFBB,
Bone,ボーン,#E3DAC9,
Vanilla,バニラ色,#F3E5AB,
Flax,フラックス,#EEDC82,
Navajo white,ナバホホワイト,#FFDEAD,
Alabaster,アラバスター,#EDEAE0,
Chiffon,シフォン,#FFFACD,
Unresolved Problem,未解決の問題,#F3F2ED,
Old Wood,古い木材,#F0EEE4,
Rose White,ローズホワイト,#FFFAFA,
Vista White,ビスタホワイト,#FDFCFA,
Link White,リンクホワイト,#ECF3F9,
Spring,春色,#F3F0E8,
Snow Drift,スノードリフト,#F8FBF8,
Peppermint,ペパーミント,#F1F9EC,
Merino,メリノ,#F2EBDD,
Half and Half,ハーフ＆ハーフ,#FFFFE4,
Island Spice,アイランドスパイス,#FFFCEC,
Soft Peach,ソフトピーチ,#F6F1F4,
Harp,ハープ,#EBF5F0,
Titan White,タイタンホワイト,#EEEEFF,
Audience Anger,聴衆の怒り,#EAF4FC,
Orange White,オレンジホワイト,#F8F9F5,
Cough Mixture,咳止めシロップ,#F6F4F1,
Albescent White,白っぽい,#F3DECA,
Coconut,ココナッツ,#FFF1E6,
Pink Salt,ピンクソルト,#F8EEEC,
Frost,霜色,#FCFBFC,
Linen,亜麻色,#F3EAD3,
Rice,白米色,#FAF5EF,
Daisy,雛菊色,#FAFAFA,
Powder,パウダーピンク,#FBFCFA,
Pearl,パールホワイト,#FBFCF8,
Paris White,パリスホワイト,#C2D8D3,
Cup Cake,カップケーキ色,#EBF6F7,
White Dove,ホワイトダブ,#F0EFE7,
White Whisper,ホワイトウィスパー,#EAE8E1,
Lexicon,レキシコン,#E7EAEA,
Greek Villa,ギリシャの家ホワイト,#F0EBE3,
White Diamond,ホワイトダイアモンド,#E7E8E2,
Decorator’s White,デコレーターズホワイト,#ECEFEC,
Winter White,ウィンターホワイト,#DFDFD5,
Spatial White,スペーシャルホワイト,#DEDDDB,
Hog Bristle Quarter,ホッグブリッスルクォーター,#EBE4D8,
Simply White,シンプリーホワイト,#EFEDE3,
Oyster White,オイスターホワイト,#E3DFD2,
White on White,ホワイトオンホワイト,#EDEFEF,
Lexicon Quarter,レキシコンクォーター,#F2F2F1,
Alice Blue,アリスブルー,#F0F8FF,
Honeydew,ハニーデュー,#F0FFF0,
Mint Cream,ミントクリーム,#F5FFFA,
Milk,ミルク,#FDFFF5,
Pomelo White,ポメロホワイト,#F9FFE3,
Anti-Flash White,アンチフラッシュホワイト,#F2F3F4,
Magnolia,マグノリア,#F8F4FF,
Azure,空色,#F0FFFF,
Huntington White,ハンティントンホワイト,#F1F0E5,
Acadia White,アカディアホワイト,#F4EFE3,
Gainsboro,ゲインズボロ,#DCDCDC,
Mercury,水銀色,#E7E7E7,
Lavender Blush,ラベンダーブラッシュ,#FFF0F5,
Isabelline,イザベリン,#F4F0EC,
Bubbles,バブルス,#E7FEFF,
Glitter,グリッター,#E6E8FA,
Platinum,プラチナ,#E5E4E2,
Cosmic Latte,コズミックラテ,#FFF8E7,
Blanched Almond,ブランシュドアーモンド,#FFEBCD,
Light Yellow,ライトイエロー,#FFFFE0,
Natural White,ナチュラルホワイト,#EEECE6,
Vivid White,ビビッドホワイト,#F8F8F4,
White Wisp,ホワイトウィスプ,#E9E9E4,
Azureish White,アジュールッシュホワイト,#DBE9F4,
Timberwolf,ティンバーウルフ,#DBD7D2,
Papaya Whip,パパイアウィップ,#FFEFD5,
Antique White USA,アンティークホワイトUSA,#EEEAE1,
Cola,コーラ,#F9EDEB,
Atrium White,アトリウムホワイト,#F1EEE4,
Cascading White,カスケーディングホワイト,#F7F5F6,
Cotton Ball,コットンボール,#F2F7FD,
Photon White,フォトンホワイト,#F8F8E8,
White Heat,ホワイトヒート,#FDF9EF,
Whitewash,ホワイトウォッシュ,#FEFFFC,
Shadow White,シャドウホワイト,#EEF1EA,
Abbey White,アビーホワイト,#EBE5D0,
Acoustic White,アコースティックホワイト,#EFECE1,
Aircraft White,エアクラフトホワイト,#EDF2F8,
Ceramic,セラミック,#FCFFF9,
Coconut Butter,ココナッツバター,#F2EFE1,
Abstract White,アブストラクトホワイト,#EDE9DD,
Bright White,ブライトホワイト,#F4F5F0,
Broken White,ブロークンホワイト,#EEEBE3,
